order_no,sale_date,store_name,product_name,total_price
D00175600275697107873,2025-08-24,新天地广场,豆浆油条豆乳冰,39.0
D00175600599908356204,2025-08-24,新天地广场,木姜子甜橙,48.0
D00175601243422005625,2025-08-24,新天地广场,木姜子甜橙,38.0
D00175601292737024138,2025-08-24,新天地广场,古早黑芝麻,48.0
D00175601450258460452,2025-08-24,新天地广场,木姜子甜橙,58.0
D00175601561281938330,2025-08-24,新天地广场,西西里开心果,68.0
D00175601636583767337,2025-08-24,新天地广场,雪糯红豆牛乳冰,55.0
D00175601922899750902,2025-08-24,新天地广场,临安山核桃,35.0
D00175602025746352496,2025-08-24,新天地广场,西西里开心果,58.0
D00175602072159406708,2025-08-24,新天地广场,西西里开心果,58.0
D00175602313422230265,2025-08-24,新天地广场,西班牙火腿蜜瓜,58.0
D00175602558998911788,2025-08-24,新天地广场,古早黑芝麻牛奶冰,55.0
D00175603210275576675,2025-08-24,新天地广场,雪糯红豆牛乳冰,55.0
D90052101436543840256,2025-08-24,新天地广场,糖渍芭乐地瓜冰,55.0
D00175609036250272742,2025-08-25,新天地广场,古早黑芝麻牛奶冰,55.0
D00175609475072603030,2025-08-25,新天地广场,木姜子甜橙,45.0
D00175609557660243856,2025-08-25,新天地广场,木姜子甜橙,68.0
D00175609710953063059,2025-08-25,新天地广场,糖渍芭乐甜橙冰,55.0
D00175610011283006138,2025-08-25,新天地广场,内蒙古奶茶,48.0
D00175610213465021429,2025-08-25,新天地广场,木姜子甜橙,48.0
D00175610457649898135,2025-08-25,新天地广场,木姜子甜橙,35.0
D00175611192331157182,2025-08-25,新天地广场,木姜子甜橙,48.0
D00175611582957257814,2025-08-25,新天地广场,西西里开心果,55.0
D00175611630294858924,2025-08-25,新天地广场,木姜子甜橙,45.0
D00175611661547389872,2025-08-25,新天地广场,雪糯红豆牛乳冰,55.0
D00175611872246364849,2025-08-25,新天地广场,临安山核桃,45.0
D00175611916490873732,2025-08-25,新天地广场,古早黑芝麻牛奶冰,55.0
D00175618337561058316,2025-08-26,新天地广场,伯爵红茶,38.0
D00175618341679800507,2025-08-26,新天地广场,古早黑芝麻,45.0
D00175618848533145721,2025-08-26,新天地广场,内蒙古奶茶,58.0
D00175619632248114749,2025-08-26,新天地广场,内蒙古奶茶,48.0
D00175619821312411879,2025-08-26,新天地广场,木姜子甜橙,58.0
D00175620181383798388,2025-08-26,新天地广场,临安山核桃,48.0
D00175620462974081201,2025-08-26,新天地广场,西西里开心果,58.0
D00175620467110542142,2025-08-26,新天地广场,榛子巧克力布朗尼,58.0
D90053223811255459840,2025-08-27,新天地广场,焦糖海盐,58.0
D00175635126467643122,2025-08-28,新天地广场,芒果核桃雪花冰,55.0
D00175635162954662464,2025-08-28,新天地广场,糖渍芭乐甜橙冰,55.0
D00175635597208875283,2025-08-28,新天地广场,榛子巧克力布朗尼,48.0
D00175637476538879677,2025-08-28,新天地广场,榛子巧克力布朗尼,45.0
D90053594009183571968,2025-08-28,新天地广场,芒果核桃雪花冰,55.0
D90053594430702796800,2025-08-28,新天地广场,西西里开心果,45.0
D00175646576568946382,2025-08-29,新天地广场,焦糖海盐,48.0
D00175646622552181508,2025-08-29,新天地广场,玫瑰树莓,58.0
D00175647346961220350,2025-08-29,新天地广场,玫瑰树莓,48.0
D90053836805777805312,2025-08-29,新天地广场,榛子巧克力布朗尼,48.0
D00175669806681232252,2025-09-01,新天地广场,西西里开心果,48.0
D00175670041032855567,2025-09-01,新天地广场,白色恋人,58.0
D00175670507912966018,2025-09-01,新天地广场,西西里开心果,55.0
D00175670507912966018,2025-09-01,新天地广场,华夫蛋筒（单买）,3.0
D00175671161981927370,2025-09-01,新天地广场,榛子巧克力布朗尼,58.0
D00175671227620667184,2025-09-01,新天地广场,内蒙古奶茶,48.0
D00175671336953569220,2025-09-01,新天地广场,内蒙古奶茶,48.0
D00175672028120092565,2025-09-01,新天地广场,西西里开心果,58.0
D00175672172739620440,2025-09-01,新天地广场,芒果核桃雪花冰,55.0
D00175672358187104541,2025-09-01,新天地广场,木姜子甜橙,48.0
D00175672403580756157,2025-09-01,新天地广场,榛子巧克力布朗尼,58.0
D00175672432838053811,2025-09-01,新天地广场,芒果核桃雪花冰,55.0
D00175672988464983369,2025-09-01,新天地广场,糖渍芭乐甜橙冰,55.0
D00175679309518563681,2025-09-02,新天地广场,木姜子甜橙,58.0
D00175680745948705377,2025-09-02,新天地广场,西西里开心果,58.0
D00175680836619275708,2025-09-02,新天地广场,伯爵红茶,58.0
D00175680948466106198,2025-09-02,新天地广场,芒果核桃雪花冰,55.0
D00175681053841584697,2025-09-02,新天地广场,焦糖海盐,48.0
D00175681341282576760,2025-09-02,新天地广场,木姜子甜橙,48.0
D00175681401817131799,2025-09-02,新天地广场,泰式咸法酪,35.0
D00175687779698926185,2025-09-03,新天地广场,伯爵红茶,48.0
D00175688013873352418,2025-09-03,新天地广场,西西里开心果,48.0
D00175688176204207554,2025-09-03,新天地广场,薄荷巧克力脆脆冰,55.0
D00175688320943201332,2025-09-03,新天地广场,伯爵红茶,35.0
D00175690620903668932,2025-09-03,新天地广场,玫瑰树莓,48.0
D00175698497279363856,2025-09-04,新天地广场,榛子巧克力布朗尼,58.0
D90056391409723981824,2025-09-05,新天地广场,华夫蛋筒（单买）,3.0
D90057122845133414400,2025-09-07,新天地广场,雪糯红豆牛乳冰,55.0
D90057129420921257984,2025-09-07,新天地广场,白色恋人,48.0
